Strategy,Global ECE,Cal Slope,Cal Intercept,Global AUROC,Brier Score,Max Race ECE,Race MaxCalGap
Uncalibrated,0.3765142198428441,0.9512432665049424,-2.738091577362196,0.7985242206709914,0.24535018915929996,0.3875269296471652,0.08932222889438884
Global Platt,0.118153519653483,0.9363259910388695,-1.2448405554423896,0.7985242203652021,0.09151225731112338,0.12666578857376873,0.06004189723751689
Isotonic,0.11215471631892675,0.7498397935877162,-1.3865682548050142,0.7977181988854062,0.08899109354669556,0.12165237713103744,0.056494781210877754
Fair Temp. Scaling,0.3694650905941553,0.4635579890281945,-2.7380911966016495,0.7985242231173059,0.28866194589581884,0.37930969275819215,0.11830957135427872
