Variable,Value,N/A
**Demographics**,,
N (ICU stays),"137,773",
"Age, mean (SD)",63.3 (17.2),
"Female, %",45.9%,
"Race/Ethnicity, %",,
  White,77.4%,
  Black,10.5%,
  Hispanic,3.8%,
  Asian,1.7%,
  Other,6.7%,
Insurance,Not collected in eICU-CRD,
**Outcomes**,,
"In-hospital mortality, %",9.5%,
