Model,AUROC,AUPRC,Brier Score,ECE,Cal Slope,Cal Intercept,Sensitivity,Specificity,PPV,NPV,F1,AUROC CI
LR,0.7640869028584274,0.40324071135820105,0.3074637123027842,0.423652349243553,0.5562383189466267,-2.7749558187145453,0.8218342608827611,0.44487228853805316,0.1347836959239793,0.9595625767826388,0.23158640987357273,(0.759–0.769)
RF,0.7839960112426545,0.3847765974594117,0.15858695337500914,0.26490148922480594,1.2740634244837914,-1.9468498884338017,0.8575131508728476,0.4527660120651998,0.14154837410651186,0.9679466291652924,0.2429872220001944,(0.780–0.789)
XGB,0.7985242206709914,0.43378526537128453,0.24535018915929996,0.3765142198428441,0.9512432665049424,-2.738091577362196,0.9067622169702747,0.39226350917725267,0.13569570574544634,0.9755990502982588,0.23606466274350246,(0.794–0.803)
