Model,n_features,Global AUROC,Global ECE,Race AUROC Gap
XGB (no miss. indicators),43,0.910150394690902,0.12387495648128087,0.06264789411638627
XGB (with miss. indicators),87,0.9122280112971339,0.12420368314766494,0.06938350659093351
