Feature,KS Stat,p_value,MIMIC Mean,eICU Mean,MIMIC Miss%,eICU Miss%,Significant
gcs_total_mean,0.6990144082504984,0.0,12.41815880003897,7.920960296422684,0.004623526865642277,0.2756853665086773,True
gcs_total_min,0.5772295240316018,0.0,10.396030993042379,4.83346193544508,0.004623526865642277,0.2756853665086773,True
temp_c_max,0.3477892507731155,0.0,37.33458536144443,38.88848923815422,0.0326007830483798,0.9062515877566722,True
temp_c_min,0.3378533674481056,0.0,36.31544019614489,35.633501610405695,0.0326007830483798,0.9062515877566722,True
spo2_min,0.3035898585857612,0.0,91.98422712933754,86.64163270244316,0.00210518031754776,0.04010945540853433,True
temp_c_mean,0.27586149971849205,0.0,36.83036968027537,38.001593259913015,0.0326007830483798,0.9062515877566722,True
sbp_max,0.2542397653690914,0.0,147.93947056499408,166.5031001154945,0.004072638558246601,0.7611868798676084,True
map_max,0.25225306581090035,0.0,103.8526234872078,139.49421816974126,0.0018297361638499223,0.7595973086163472,True
sbp_min,0.23580469241162788,0.0,93.3568820525484,82.12376147346666,0.004072638558246601,0.7611868798676084,True
lab_pao2,0.19075730704950244,0.0,177.07434193619443,137.81441259681833,0.4640840498160427,0.6870068881420888,True
rr_max,0.17912895142335128,0.0,27.49591490369435,32.73780025488393,0.003049560273083204,0.10012847219701973,True
rr_min,0.17890451268631377,0.0,12.343187559204294,10.309998548129506,0.003049560273083204,0.10012847219701973,True
map_min,0.14605508766642783,0.0,60.52513107580715,52.20935358231937,0.0018297361638499223,0.7595973086163472,True
lab_albumin,0.1390248012131058,9.845578733293971e-182,3.1752765570540995,2.9342169630690154,0.740334861392567,0.5792136340211798,True
lab_ptt,0.13371060201243384,2.12135812920098e-282,37.14136795903438,40.05038800432833,0.19314537548940525,0.7652297619998113,True
lab_ast,0.11223669985707313,5.570579847628176e-163,211.26098267314583,157.4505703492122,0.5991697326224251,0.606127470549382,True
lab_ph,0.10657267933886799,1.7649034499070826e-168,7.364477480337179,7.362013070045062,0.44216656501465756,0.6923417505607049,True
hr_max,0.10305964400923007,0.0,102.40379826635146,107.31455971970593,0.0013181970212682236,0.030477669790162077,True
lab_bicarbonate,0.10154558542522474,1.055376160385164e-307,22.96719526291242,23.80071604165736,0.029787317764180456,0.18804845651905672,True
lab_creatinine,0.09247222690128615,5.72997546998851e-260,1.3057554686074562,1.4581938345978376,0.029511873610482617,0.13612246231119304,True
lab_bilirubin,0.08836844880951455,1.7871578847851396e-99,1.8502833283626603,1.1477949406337444,0.6041867511362071,0.6160931387136812,True
lab_hematocrit,0.08743488776352226,1.6571499816905145e-230,32.75278551248958,33.97117272235437,0.03199087099376316,0.1547908516182416,True
lab_hemoglobin,0.07801095661438018,9.863068435373403e-183,10.858288464676129,11.25305755551138,0.0353158754205442,0.1602345887800948,True
lab_inr,0.06951251956477722,1.801593663369323e-92,1.4477364104797155,1.5738141232024039,0.18671178704232003,0.6618350475056797,True
lab_lactate,0.0693765472803537,6.34728977304248e-63,2.371115395915969,2.6777649016641454,0.4643004702225195,0.7601126490676693,True
lab_alt,0.06284501799362041,4.9857525958040906e-51,150.0593708462561,99.65448374885786,0.6003502075668444,0.6107582762950651,True
sbp_mean,0.061046962711312824,4.8030208662307194e-65,119.02661601797092,120.58880134586745,0.004072638558246601,0.7611868798676084,True
rr_mean,0.060830549180774574,3.785362309826716e-116,18.97823336781265,19.429159269844686,0.003049560273083204,0.10012847219701973,True
lab_paco2,0.05794161401204004,5.7225612397283944e-49,42.18057646410868,42.76720106786568,0.4641627481456706,0.6900553809527266,True
hr_min,0.05218628985791757,1.678947690544244e-87,69.91657210401891,67.50960516268135,0.0013181970212682236,0.030477669790162077,True
lab_potassium,0.050649173293925265,2.5082695349118166e-78,4.174763497759666,4.100127918239204,0.029590571940110572,0.13071501673041888,True
map_mean,0.04669350495815594,2.0905260174503286e-38,78.93947566066572,80.5591904827552,0.0018297361638499223,0.7595973086163472,True
spo2_max,0.038234207557414746,5.321566810356525e-47,99.4165023659306,99.49815874840262,0.00210518031754776,0.04010945540853433,True
lab_glucose,0.03752451743948371,7.0914277043773604e-43,141.14519939712412,146.8097635463813,0.034017352981682965,0.14203073171085773,True
spo2_mean,0.03744377514935429,4.287796941631283e-45,96.835475230131,96.60600696548667,0.00210518031754776,0.04010945540853433,True
lab_bun,0.0370019040738071,7.320593282559647e-42,23.919311337781114,24.966376713773464,0.029787317764180456,0.13970807052180034,True
lab_sodium,0.03622681251397286,3.2163095137249435e-40,138.51359675785207,138.28954692420743,0.029059358215121883,0.135715996603108,True
hr_mean,0.030883616183899176,6.5081604259686595e-31,84.22822592472309,83.96466697061175,0.0013181970212682236,0.030477669790162077,True
lab_platelets,0.02111091354907757,1.1191959038750859e-13,205.17135461253108,202.9702016628339,0.034725637948334546,0.17937476864117063,True
lab_wbc,0.009219776366974339,0.005813366559760876,11.975938851268664,12.134567412341664,0.03539457375017215,0.16969943312550353,False
lab_chloride,0.008433645995116201,0.014047136533861334,104.53291254660398,104.51970037896731,0.029020009050307907,0.14195089023248386,False
