Model,AUROC,AUPRC,Brier Score,ECE,Cal Slope,Cal Intercept,Sensitivity,Specificity,PPV,NPV,F1,AUROC CI
LR,0.8845002675775175,0.5233395388092743,0.13235004447133408,0.21994937632091982,0.8706223362077419,-2.1222944675759092,0.8202824133493963,0.7895121238678368,0.30721153846139077,0.9747520288546483,0.4470094438614901,(0.873–0.896)
RF,0.9043070042306124,0.5942142196156898,0.07643532611445773,0.10538588228797408,1.4170050084335994,-0.9361087184940757,0.8202824133493963,0.8174116272274587,0.33827421916339956,0.9755927475591046,0.4790104947526237,(0.894–0.914)
XGB,0.910150394690902,0.6240657489950292,0.08730995300781354,0.12387495648128087,0.9862649083972481,-1.5627829438342606,0.835686777919338,0.8279287174991486,0.3559322033896359,0.9779158040025917,0.4992331288343558,(0.900–0.920)
