Strategy,Global ECE,Cal Slope,Cal Intercept,Global AUROC,Brier Score,Max Race ECE,Mean Race ECE,Race MaxCalGap,Max Insurance ECE,Insurance MaxCalGap
Uncalibrated,0.12387495648128087,0.9862649083972481,-1.5627829438342606,0.910150394690902,0.08730995300781354,0.13306642846767405,0.11310057887383367,0.050441408136124646,0.13919187037020375,0.027181536061269482
Global Platt,0.006909701041414806,0.9707984290146586,-0.014555338601102677,0.910150394690902,0.058339705215174634,0.06552301144865547,0.031183111207328564,0.053866842232186164,0.020872336898852133,0.013314754554363328
Group-Platt (Race),0.008746063977968498,0.9556848457572659,-0.040188709982929414,0.9073343616410472,0.05835198479130128,0.0851840694407815,0.033868993050779825,0.07325328843029481,0.020254088788112593,0.013731552885334442
Group-Platt (Insurance),0.007160647326316992,0.967120281622506,-0.021080244314936842,0.9100632022972289,0.05833017967627456,0.058462264902383376,0.029720937428508933,0.04664229627630517,0.018368073037144404,0.0069190146704316505
Isotonic,0.008091136574745183,0.8354698903375956,-0.22031358748715651,0.9092974093170978,0.05885273251719014,0.08269004263345478,0.03778607854663292,0.07216596689827234,0.023845139654603466,0.0164815974941407
Fair Temp. Scaling,0.08686533688424064,0.4806267857293114,-1.5627820542027204,0.910150394690902,0.09171304515928902,0.11729134441109247,0.08864106444025235,0.04918837703000216,0.09942101246383785,0.025024088994486104
